Profile	Weight	Area	Aweb	h	b	s	t	r1	c	h-2c	Ix	Sx	rx	Iy	Sy	ry	w	w1	dmax	Um	Ut
100	16.7	21.2	4	96	100	5	8	12	20	56	349	73	4.06	134	26.8	2.51	56	N.A.	M12	56.1	33.6
120	19.9	25.3	4.9	114	120	5	8	12	20	74	606	106	4.89	231	38.5	3.02	66	N.A.	M16	67.7	34
140	24.7	31.4	6.38	133	140	5.5	8.5	12	21	91	1030	155	5.73	389	55.6	3.52	76	N.A.	M20	79.4	32.1
160	30.4	38.8	8.04	152	160	6	9	15	24	104	1670	220	6.57	616	76.9	3.98	86	N.A.	M20	90.6	29.8
180	35.5	45.3	9.12	171	180	6	9.5	15	25	121	2510	294	7.45	925	103	4.52	100	N.A.	M24	102	28.7
200	42.3	53.8	11.05	190	200	6.5	10	18	28	134	3690	389	8.28	1340	134	4.98	110	N.A.	M24	114	26.9
220	50.5	64.3	13.16	210	220	7	11	18	29	152	5410	515	9.17	1950	178	5.51	120	N.A.	M24	126	24.9
240	60.3	76.8	15.45	230	240	7.5	12	21	33	164	7760	675	10.1	2770	231	6	90	40	M24	137	22.7
260	68.2	86.8	16.88	250	260	7.5	12.5	24	37	176	10450	836	11	3670	282	6.5	95	40	M24	148	21.7
280	76.4	97.3	19.52	270	280	8	13	24	37	196	13670	1010	11.9	4760	340	7	110	40	M24	160	21
300	88.3	113	22.27	290	300	8.5	14	27	41	208	18260	1260	12.7	6310	421	7.49	120	50	M27	172	19.5
320	97.6	124	25.11	310	300	9	15.5	27	43	224	22930	1480	13.6	6990	466	7.49	120	50	M27	176	18
340	105	133	28.22	330	300	9.5	16.5	27	44	242	27690	1680	14.4	7440	496	7.46	120	50	M27	179	17.1
360	112	143	31.5	350	300	10	17.5	27	45	260	33090	1890	15.2	7890	526	7.43	120	50	M27	183	16.4
400	125	159	38.72	390	300	11	19	27	46	298	45070	2310	16.8	8560	571	7.34	120	50	M27	191	15.3
450	140	178	45.77	440	300	11.5	21	27	48	344	63720	2900	18.9	9470	631	7.29	120	50	M27	201	14.4
500	155	198	53.28	490	300	12	23	27	50	390	86970	3550	21	10370	691	7.24	120	50	M27	211	13.6
550	166	212	61.5	540	300	12.5	24	27	51	438	111900	4150	23	10820	721	7.15	120	50	M27	221	13.3
600	178	226	70.2	590	300	13	25	27	52	486	141200	4790	25	11270	751	7.05	120	50	M27	231	13
650	190	242	79.38	640	300	13.5	26	27	53	534	175200	5470	26.9	11720	782	6.97	120	50	M27	241	12.7
700	204	260	92.22	690	300	14.5	27	27	54	582	215300	6240	28.8	12180	812	6.84	120	50	M27	250	12.3
800	224	286	110.1	790	300	15	28	30	58	674	303400	7680	32.6	12640	843	6.65	120	50	M27	270	12
900	252	321	132.8	890	300	16	30	30	60	770	422100	9480	36.3	13550	903	6.5	120	50	M27	290	11.5
1000	272	347	153.12	990	300	16.5	31	30	61	868	553800	11190	40	14000	934	6.35	120	50	M27	310	11.4
