Profile	Weight	Area	Aweb	h	b	s	t	r1	c	h-2c	Ix	Sx	rx	Iy	Sy	ry	w	w1	dmax	Um	Ut
100	20.4	26	4.8	100	100	6	10	12	22	56	450	89.9	4.16	167	33.5	2.53	56	N.A.	M12	56.7	27.8
120	26.7	34	6.37	120	120	6.5	11	12	23	74	864	144	5.04	318	52.9	3.06	66	N.A.	M16	68.6	25.7
140	33.7	43	8.12	140	140	7	12	12	24	92	1510	216	5.93	550	78.5	3.58	76	N.A.	M20	80.5	23.8
160	42.6	54.3	10.72	160	160	8	13	15	28	104	2490	311	6.78	889	111	4.05	86	N.A.	M20	91.8	21.5
180	51.2	65.3	12.92	180	180	8.5	14	15	29	122	3830	426	7.66	1360	151	4.57	100	N.A.	M24	104	20.3
200	61.3	78.1	15.3	200	200	9	15	18	33	134	5700	570	8.54	2000	200	5.07	110	N.A.	M24	115	18.8
220	71.5	91	17.86	220	220	9.5	16	18	34	152	8090	736	9.43	2840	258	5.59	120	N.A.	M24	127	17.8
240	83.2	106	20.6	240	240	10	17	21	38	164	11260	938	10.3	3920	327	6.08	90	40	M20	138	16.6
260	93	118	22.5	260	260	10	17.5	24	41.5	177	14920	1150	11.2	5130	395	6.58	95	40	M20	150	16.1
280	103	131	25.62	280	280	10.5	18	24	42	196	19270	1380	12.1	6590	471	7.09	110	40	M20	162	15.7
300	117	149	28.82	300	300	11	19	27	46	208	25170	1680	13	8560	571	7.58	120	50	M24	173	14.8
320	127	161	32.09	320	300	11.5	20.5	27	47.5	225	30820	1930	13.8	9240	616	7.57	120	50	M24	177	13.9
340	134	171	35.64	340	300	12	21.5	27	48.5	243	36660	2160	14.6	9690	646	7.53	120	50	M24	181	13.5
360	142	181	39.38	360	300	12.5	22.5	27	49.5	261	43190	2400	15.5	10140	676	7.49	120	50	M24	185	13
400	155	198	47.52	400	300	13.5	24	27	51	298	57680	2880	17.1	10820	721	7.4	120	50	M24	193	12.4
450	171	218	55.72	450	300	14	26	27	53	344	79890	3550	19.1	11720	781	7.33	120	50	M24	203	11.9
500	187	239	64.38	500	300	14.5	28	27	55	390	107200	4290	21.2	12620	842	7.27	120	50	M24	212	11.3
550	199	254	73.8	550	300	15	29	27	56	438	136700	4970	23.2	13080	872	7.17	120	50	M24	222	12.2
600	212	270	83.7	600	300	15.5	30	27	57	486	171000	5700	25.2	13530	902	7.08	120	50	M24	232	11
650	225	286	94.08	650	300	16	31	27	58	534	210600	6480	27.1	13980	932	6.99	120	50	M24	242	10.8
700	241	306	108.1	700	300	17	32	27	59	582	256900	7340	29	14440	963	6.87	120	50	M24	252	10.5
800	262	334	128.5	800	300	17.5	33	30	63	674	359100	9890	32.8	14900	994	6.68	120	50	M24	271	10.4
900	291	371	153.6	900	300	18.5	35	30	65	770	494100	10980	36.5	15820	1050	6.53	120	50	M24	291	10
1000	314	400	176.3	1000	300	19	36	30	66	868	644700	12890	40.1	16280	1090	6.38	120	50	M24	311	9.9
