Profile	Weight	Area	Aweb	h	b	s	t	r1	c	h-2c	Ix	Sx	rx	Iy	Sy	ry	w	dmax	Um	Ut
80	6	7.64	2.64	80	46	3.8	5.2	5	10.2	59.6	80.1	20	3.24	8.49	3.69	1.05	N.A.	N.A.	32.8	54.8
100	8.1	10.3	3.63	100	55	4.1	5.7	7	12.7	74.6	171	34.2	4.07	15.9	5.79	1.24	N.A.	N.A.	40	49.5
120	10.4	13.2	4.73	120	64	4.4	6.3	7	13.3	93.4	318	53	4.9	27.7	8.65	1.45	36	M10	47.5	45.6
140	12.9	16.4	5.93	140	73	4.7	6.9	7	13.9	112.2	541	77.3	5.74	44.9	12.3	1.65	38	M10	55.1	42.6
160	15.8	20.1	7.26	160	82	5	7.4	9	16.4	127.2	869	109	6.58	68.3	16.7	1.84	44	M12	62.3	39.4
180	18.8	23.9	8.69	180	91	5.3	8	9	17	146	1320	146	7.42	101	22.2	2.05	50	M12	69.8	37.1
200	22.4	28.5	10.25	200	100	5.6	8.5	12	20.5	159	1940	194	8.26	142	28.5	2.24	56	M12	76.8	34.3
220	26.2	33.4	11.89	220	110	5.9	9.2	12	21.2	177.6	2770	252	9.11	205	37.3	2.48	60	M16	84.8	32.4
240	30.7	39.1	13.66	240	120	6.2	9.8	15	24.8	190.4	3890	324	9.97	284	47.3	2.69	68	M16	92.2	30
270	36.1	45.9	16.47	270	135	6.6	10.2	15	25.2	219.6	5790	429	11.2	420	62.2	3.02	72	M20	104	28.8
300	42.2	53.8	19.78	300	150	7.1	10.7	15	25.7	248.6	8360	557	12.5	604	80.5	3.35	80	M20	116	27.5
330	49.1	62.6	23.03	330	160	7.5	11.5	18	29.5	271	11770	713	13.7	788	98.5	3.55	86	M24	125	25.5
360	57.1	72.7	26.77	360	170	8	12.7	18	30.7	298.6	16270	904	15	1040	123	3.79	90	M24	135	23.6
400	66.3	84.5	32.08	400	180	8.6	13.5	21	34.5	331	23130	1160	16.5	1320	146	3.95	96	M27	147	22.2
450	77.6	98.8	39.56	450	190	9.4	14.6	21	35.6	378.8	33740	1500	18.5	1680	176	4.12	106	M27	161	20.7
500	90.7	116	47.74	500	200	10.2	16	21	37	426	48200	1930	20.4	2140	214	4.31	110	M27	174	19.2
550	106	134	57.23	550	210	11.1	17.2	24	41.2	467.6	67120	2440	22.3	2670	254	4.45	120	M27	188	17.7
600	122	156	67.44	600	220	12	19	24	43	514	92080	3070	24.3	3390	308	4.66	120	M27	202	16.6
