Profile	Weight	Area	Aweb	h	b	s =r1	t	c	h-2c	Ix	Sx	rx	Iy	Sy	ry	w	dmax	Um	Ut
80	5.94	7.57	2.66	80	42	3.9	5.9	10.5	59	77.8	19.5	3.2	6.29	3	0.91	N.A.		30.4	51.2
100	8.34	10.6	3.89	100	50	4.5	6.8	12.5	75	171	34.2	4.01	12.2	4.88	1.07	N.A.		37	44.4
120	11.1	14.2	5.33	120	58	5.1	7.7	14	92	328	54.7	4.81	21.5	7.41	1.23	N.A.		43.9	39.5
140	14.3	18.2	7	140	66	5.7	8.6	15.5	109	573	81.9	5.61	35.2	10.7	1.4	34	M10	50.2	35.1
160	17.9	22.8	8.88	160	74	6.3	9.5	17.5	125	935	117	6.4	54.7	14.8	1.55	40	M10	57.5	32.1
180	21.9	27.9	10.98	180	82	6.9	10.4	19	142	1450	161	7.2	81.3	19.8	1.71	44	M12	64	29.2
200	26.2	33.4	13.31	200	90	7.5	11.3	20.5	159	2140	214	8	117	26	1.87	48	M12	70.9	27
220	31.1	39.5	15.84	220	98	8.1	12.2	22	176	3060	278	8.8	162	33.1	2.02	52	M12	77.5	24.9
240	36.2	46.1	18.6	240	106	8.7	13.1	24	192	4250	354	9.59	221	41.7	2.2	56	M16	84.4	23.3
260	41.9	53.3	21.79	260	113	9.4	14.1	26	208	5740	442	10.4	288	51	2.32	60	M16	90.6	21.6
280	47.9	61	25.21	280	119	10.1	15.2	27.5	225	7590	542	11.1	364	61.2	2.45	60	M16	96.6	20.1
300	54.2	69	28.9	300	125	10.8	16.2	29.5	241	9800	653	11.9	451	72.2	2.56	64	M20	103	19
320	61	77.7	32.82	320	131	11.5	17.3	31	258	12510	782	12.7	555	84.7	2.67	70	M20	109	17.9
340	68	86.7	37.01	340	137	12.2	18.3	33	274	15700	923	13.5	674	98.4	2.8	74	M20	115	16.9
360	76.1	97	41.73	360	143	13	19.5	35	290	19610	1090	14.2	818	114	2.9	76	M20	121	15.9
380	84	107	46.44	380	149	13.7	20.5	37	306	24010	1260	15	975	131	3.02	82	M20	127	15.1
400	92.4	118	51.38	400	s	14.4	21.6	38.5	323	29210	1460	15.7	1160	149	3.13	86	M20	133	14.4
425	104	132	57.99	425	163	15.3	23	41	343	36970	1740	16.7	1440	176	3.3	88	M20	144.4	13.5
450	115	147	65.03	450	170	16.2	24.3	43.5	363	45850	2040	17.7	1730	203	3.43	94	M24	148	12.9
475	128	163	72.47	475	178	17.1	25.6	45.5	384	56480	2380	18.6	2090	235	3.6	100	M24	155.1	12.11
500	141	179	80.28	500	185	18	27	48	404	68740	2750	19.6	2480	268	3.72	100	M27	163	11.5
550	166	212	93.1	550	200	19	30	52.5	445	99180	3610	21.6	3490	349	4.02	110	M27	177.3	10.68
600	199	254	115.6	600	215	21.6	32.4	57.5	485	139000	4630	23.4	4670	434	4.3	120	M27	191.9	9.64
